batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.142762,33.412403
0,mae,0,0.075,7.521229,31.659277
0,mae,0,0.1,8.92323,30.680323
0,mae,0,0.15,11.927217,30.684025
0,mse,0,0.05,1.746918,58.981739
0,mse,0,0.075,3.973952,52.561913
0,mse,0,0.1,5.404248,49.314728
0,mse,0,0.15,9.339981,49.762184
0,mae,1,0.05,7.868839,31.310883
0,mae,1,0.075,10.513517,29.294479
0,mae,1,0.1,12.087168,28.781633
0,mae,1,0.15,14.95974,27.793793
0,mse,1,0.05,4.236201,52.010513
0,mse,1,0.075,6.853767,45.379311
0,mse,1,0.1,8.660489,43.732674
0,mse,1,0.15,13.435646,41.448746
0,mae,2,0.05,5.696665,33.452202
0,mae,2,0.075,9.738649,31.41304
0,mae,2,0.1,11.955395,30.606388
0,mae,2,0.15,14.778536,28.891714
0,mse,2,0.05,2.579069,60.445969
0,mse,2,0.075,7.086267,53.399071
0,mse,2,0.1,9.918884,50.88269
0,mse,2,0.15,14.245602,45.762169
0,mae,3,0.05,7.30017,31.363613
0,mae,3,0.075,11.291849,30.239016
0,mae,3,0.1,12.150185,29.860554
0,mae,3,0.15,14.293413,28.915867
0,mse,3,0.05,3.78162,55.078934
0,mse,3,0.075,8.017277,51.143257
0,mse,3,0.1,9.212798,50.169434
0,mse,3,0.15,12.425981,47.177063
0,mae,4,0.05,7.201528,28.829756
0,mae,4,0.075,13.381871,26.966671
0,mae,4,0.1,14.418427,25.700123
0,mae,4,0.15,16.360008,24.290421
0,mse,4,0.05,4.069202,48.80217
0,mse,4,0.075,12.994326,42.71286
0,mse,4,0.1,14.896642,39.652092
0,mse,4,0.15,18.307646,35.016373
0,mae,5,0.05,7.570893,29.002636
0,mae,5,0.075,12.850323,26.002964
0,mae,5,0.1,15.241301,24.723408
0,mae,5,0.15,18.537691,22.32552
0,mse,5,0.05,5.152479,49.050571
0,mse,5,0.075,10.556395,40.321976
0,mse,5,0.1,14.586611,37.325172
0,mse,5,0.15,20.615021,30.155075
0,mae,6,0.05,6.570245,29.176464
0,mae,6,0.075,10.880136,27.025551
0,mae,6,0.1,14.360292,25.411776
0,mae,6,0.15,17.871536,24.326019
0,mse,6,0.05,4.178456,49.139111
0,mse,6,0.075,8.199617,43.642647
0,mse,6,0.1,12.816408,39.49493
0,mse,6,0.15,19.071316,35.157642
0,mae,7,0.05,8.631548,28.452808
0,mae,7,0.075,13.11009,27.522392
0,mae,7,0.1,15.824076,26.814606
0,mae,7,0.15,20.08942,24.346848
0,mse,7,0.05,6.473674,48.611855
0,mse,7,0.075,11.426258,45.977295
0,mse,7,0.1,15.696814,43.849716
0,mse,7,0.15,23.15588,36.177608
0,mae,8,0.05,7.06859,28.913429
0,mae,8,0.075,12.536247,26.968111
0,mae,8,0.1,15.454864,25.84256
0,mae,8,0.15,21.481075,22.499136
0,mse,8,0.05,4.182394,49.025909
0,mse,8,0.075,10.627052,43.239098
0,mse,8,0.1,14.78346,38.870728
0,mse,8,0.15,27.162146,30.582195
0,mae,9,0.05,7.345913,29.700258
0,mae,9,0.075,11.088202,26.130863
0,mae,9,0.1,14.555878,24.740044
0,mae,9,0.15,19.486479,22.961361
0,mse,9,0.05,4.309708,50.919838
0,mse,9,0.075,8.692826,40.253517
0,mse,9,0.1,14.765033,36.671906
0,mse,9,0.15,23.101488,32.744278
0,mae,10,0.05,5.653124,28.84774
0,mae,10,0.075,9.267439,25.384254
0,mae,10,0.1,12.921184,22.725237
0,mae,10,0.15,19.318314,17.690929
0,mse,10,0.05,2.145051,45.401558
0,mse,10,0.075,6.265684,35.442493
0,mse,10,0.1,11.738189,29.554638
0,mse,10,0.15,24.06752,19.166904
0,mae,11,0.05,6.570254,29.460384
0,mae,11,0.075,12.343425,26.644749
0,mae,11,0.1,13.97443,25.50248
0,mae,11,0.15,17.770899,22.07782
0,mse,11,0.05,2.83341,46.97858
0,mse,11,0.075,10.731291,38.901558
0,mse,11,0.1,13.380892,36.574905
0,mse,11,0.15,20.054663,28.231318
0,mae,12,0.05,6.825482,28.389246
0,mae,12,0.075,13.706017,26.129112
0,mae,12,0.1,15.539495,24.47205
0,mae,12,0.15,19.17271,21.551525
0,mse,12,0.05,3.467085,43.450611
0,mse,12,0.075,13.434019,36.815125
0,mse,12,0.1,16.690729,32.542358
0,mse,12,0.15,24.644382,25.358978
0,mae,13,0.05,8.087904,31.77803
0,mae,13,0.075,12.99778,28.868187
0,mae,13,0.1,15.369781,26.53968
0,mae,13,0.15,18.819582,24.403915
0,mse,13,0.05,4.335832,54.389111
0,mse,13,0.075,12.042088,45.714279
0,mse,13,0.1,16.279858,39.200783
0,mse,13,0.15,23.713642,32.853111
0,mae,14,0.05,8.065048,31.486851
0,mae,14,0.075,13.544908,28.340271
0,mae,14,0.1,16.363207,26.862202
0,mae,14,0.15,19.35429,24.831192
0,mse,14,0.05,4.514429,53.455528
0,mse,14,0.075,12.991758,44.35928
0,mse,14,0.1,18.153147,40.540043
0,mse,14,0.15,25.841335,34.333607
0,mae,15,0.05,8.792924,29.600033
0,mae,15,0.075,14.129062,28.27405
0,mae,15,0.1,15.98348,26.397011
0,mae,15,0.15,19.159647,25.257898
0,mse,15,0.05,5.988927,46.55439
0,mse,15,0.075,15.868202,43.111904
0,mse,15,0.1,18.966206,38.345871
0,mse,15,0.15,23.734884,35.222935
0,mae,16,0.05,8.096237,34.204475
0,mae,16,0.075,12.900609,29.840689
0,mae,16,0.1,15.884525,27.850948
0,mae,16,0.15,19.613558,24.690407
0,mse,16,0.05,4.838831,62.336052
0,mse,16,0.075,11.108198,48.390236
0,mse,16,0.1,16.604465,42.335701
0,mse,16,0.15,24.440319,33.542427
0,mae,17,0.05,10.254618,32.043026
0,mae,17,0.075,15.70542,28.798981
0,mae,17,0.1,16.943047,27.391014
0,mae,17,0.15,18.82119,25.214905
0,mse,17,0.05,7.962334,53.652458
0,mse,17,0.075,17.036707,43.704792
0,mse,17,0.1,20.277666,39.485924
0,mse,17,0.15,24.431805,34.105453
0,mae,18,0.05,9.536457,33.7705
0,mae,18,0.075,13.999705,31.36079
0,mae,18,0.1,14.900358,30.780243
0,mae,18,0.15,16.892923,29.428391
0,mse,18,0.05,6.154338,61.634331
0,mse,18,0.075,14.080962,54.17849
0,mse,18,0.1,15.454524,52.582291
0,mse,18,0.15,19.382788,48.286472
0,mae,19,0.05,7.397809,34.547165
0,mae,19,0.075,10.708728,33.714134
0,mae,19,0.1,12.948463,32.542831
0,mae,19,0.15,14.850733,32.126492
0,mse,19,0.05,3.723774,62.773476
0,mse,19,0.075,7.63856,59.993057
0,mse,19,0.1,11.06946,56.558376
0,mse,19,0.15,14.328097,54.688908
0,mae,20,0.05,3.147526,34.76767
0,mae,20,0.075,6.729665,33.124352
0,mae,20,0.1,7.628677,32.74736
0,mae,20,0.15,9.941177,32.446747
0,mse,20,0.05,0.761777,64.613098
0,mse,20,0.075,3.401808,59.551514
0,mse,20,0.1,4.188121,58.303047
0,mse,20,0.15,6.587353,57.458824
0,mae,21,0.05,3.748743,34.51152
0,mae,21,0.075,5.696025,34.300186
0,mae,21,0.1,6.671165,33.778904
0,mae,21,0.15,10.648971,33.343956
0,mse,21,0.05,0.997873,62.362213
0,mse,21,0.075,2.44169,61.616714
0,mse,21,0.1,3.189565,59.757576
0,mse,21,0.15,8.129738,59.041466
0,mae,22,0.05,4.241059,35.668022
0,mae,22,0.075,7.037303,35.151054
0,mae,22,0.1,8.119335,34.526535
0,mae,22,0.15,12.082444,33.043629
0,mse,22,0.05,1.765139,66.397133
0,mse,22,0.075,4.529507,65.055206
0,mse,22,0.1,5.856683,63.204643
0,mse,22,0.15,11.624165,58.030602
0,mae,23,0.05,4.713799,34.257362
0,mae,23,0.075,8.399893,33.279778
0,mae,23,0.1,9.481009,32.148163
0,mae,23,0.15,12.687969,30.800716
0,mse,23,0.05,1.687295,60.942696
0,mse,23,0.075,4.594018,57.863125
0,mse,23,0.1,6.264335,54.482468
0,mse,23,0.15,11.140652,50.719505
1,mae,0,0.05,6.917904,24.136211
1,mae,0,0.075,9.83763,21.848909
1,mae,0,0.1,11.302982,18.808334
1,mae,0,0.15,14.702521,16.631229
1,mse,0,0.05,3.897988,33.019909
1,mse,0,0.075,7.215176,27.441484
1,mse,0,0.1,8.992997,22.109659
1,mse,0,0.15,14.614829,17.958309
1,mae,1,0.05,6.723206,23.009684
1,mae,1,0.075,9.576481,19.985975
1,mae,1,0.1,10.913086,19.14938
1,mae,1,0.15,13.168706,16.934631
1,mse,1,0.05,3.769055,30.39299
1,mse,1,0.075,7.172193,22.739199
1,mse,1,0.1,8.918527,21.170685
1,mse,1,0.15,12.20665,17.183966
1,mae,2,0.05,6.739629,23.470505
1,mae,2,0.075,9.488711,21.315514
1,mae,2,0.1,11.086553,19.531742
1,mae,2,0.15,14.58915,16.997261
1,mse,2,0.05,4.145589,30.651125
1,mse,2,0.075,7.585096,25.844542
1,mse,2,0.1,9.851236,22.546614
1,mse,2,0.15,14.882287,18.161196
1,mae,3,0.05,6.797731,23.591204
1,mae,3,0.075,9.458612,21.909466
1,mae,3,0.1,11.395388,18.920927
1,mae,3,0.15,15.061593,16.177174
1,mse,3,0.05,3.735939,30.704111
1,mse,3,0.075,6.301026,26.925922
1,mse,3,0.1,9.023809,20.455694
1,mse,3,0.15,15.069242,15.472245
1,mae,4,0.05,7.161049,22.617592
1,mae,4,0.075,10.508408,20.231613
1,mae,4,0.1,11.865782,19.567677
1,mae,4,0.15,15.132647,16.188721
1,mse,4,0.05,4.300864,28.464865
1,mse,4,0.075,8.328608,22.634523
1,mse,4,0.1,10.121584,21.227318
1,mse,4,0.15,15.276258,15.577551
1,mae,5,0.05,7.651671,22.341129
1,mae,5,0.075,10.201181,20.270472
1,mae,5,0.1,11.641087,19.807688
1,mae,5,0.15,14.734452,17.051497
1,mse,5,0.05,4.60474,26.948618
1,mse,5,0.075,7.647213,22.266056
1,mse,5,0.1,9.542477,20.929567
1,mse,5,0.15,14.70825,16.590595
1,mae,6,0.05,7.296655,22.488308
1,mae,6,0.075,11.015646,19.431334
1,mae,6,0.1,12.686846,18.90596
1,mae,6,0.15,15.554811,16.394392
1,mse,6,0.05,3.816204,27.235544
1,mse,6,0.075,8.11703,20.772442
1,mse,6,0.1,10.661297,19.623936
1,mse,6,0.15,15.385495,15.402429
1,mae,7,0.05,7.390892,24.081232
1,mae,7,0.075,10.252392,22.00671
1,mae,7,0.1,12.084361,20.443783
1,mae,7,0.15,14.830802,17.985733
1,mse,7,0.05,3.731162,32.475216
1,mse,7,0.075,7.19142,27.040455
1,mse,7,0.1,9.863433,23.204563
1,mse,7,0.15,14.408834,17.882462
1,mae,8,0.05,6.725367,25.278835
1,mae,8,0.075,9.412531,23.277866
1,mae,8,0.1,10.202217,22.275009
1,mae,8,0.15,12.899944,20.628551
1,mse,8,0.05,2.92539,35.095894
1,mse,8,0.075,5.73566,30.148342
1,mse,8,0.1,6.740515,27.811098
1,mse,8,0.15,10.732182,24.675396
1,mae,9,0.05,7.812,25.012123
1,mae,9,0.075,11.352162,23.579208
1,mae,9,0.1,12.984519,22.58374
1,mae,9,0.15,15.232334,19.179554
1,mse,9,0.05,4.821855,34.869759
1,mse,9,0.075,8.905915,31.323238
1,mse,9,0.1,11.162178,28.919472
1,mse,9,0.15,15.222183,21.356392
1,mae,10,0.05,7.180757,25.69219
1,mae,10,0.075,10.572474,23.335335
1,mae,10,0.1,11.723573,22.490988
1,mae,10,0.15,13.07007,21.420935
1,mse,10,0.05,3.674806,36.017708
1,mse,10,0.075,7.416678,29.70545
1,mse,10,0.1,9.504997,27.538019
1,mse,10,0.15,11.987104,24.901943
1,mae,11,0.05,4.63477,28.54932
1,mae,11,0.075,8.774511,25.832251
1,mae,11,0.1,10.342298,24.532978
1,mae,11,0.15,11.799774,22.433304
1,mse,11,0.05,2.014091,45.633343
1,mse,11,0.075,7.101994,38.942795
