batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.650949,31.382883
0,mae,0,0.075,11.199278,29.604809
0,mae,0,0.1,13.360037,27.86961
0,mae,0,0.15,16.475555,26.758038
0,mse,0,0.05,4.671944,56.084831
0,mse,0,0.075,8.088002,49.613724
0,mse,0,0.1,11.911402,43.947357
0,mse,0,0.15,18.238728,40.397839
0,mae,1,0.05,8.382795,29.78945
0,mae,1,0.075,12.24548,26.612617
0,mae,1,0.1,13.820039,25.993084
0,mae,1,0.15,17.534122,24.956787
0,mse,1,0.05,4.46182,50.022423
0,mse,1,0.075,9.374103,40.476982
0,mse,1,0.1,13.115477,39.402813
0,mse,1,0.15,19.58297,35.405235
0,mae,2,0.05,8.478219,28.513016
0,mae,2,0.075,12.332757,26.268597
0,mae,2,0.1,14.998441,25.644938
0,mae,2,0.15,17.939638,23.969725
0,mse,2,0.05,4.269289,46.686424
0,mse,2,0.075,9.18536,39.969208
0,mse,2,0.1,14.392529,38.396072
0,mse,2,0.15,19.583916,33.555733
0,mae,3,0.05,8.591162,29.868826
0,mae,3,0.075,12.968294,28.182087
0,mae,3,0.1,15.346272,26.754543
0,mae,3,0.15,17.806625,25.128338
0,mse,3,0.05,4.192327,50.80587
0,mse,3,0.075,9.758602,45.28775
0,mse,3,0.1,13.769411,41.046612
0,mse,3,0.15,17.992924,36.540031
0,mae,4,0.05,9.537606,30.140499
0,mae,4,0.075,12.306629,28.306496
0,mae,4,0.1,14.961765,26.939936
0,mae,4,0.15,18.333212,24.939392
0,mse,4,0.05,5.108486,53.107803
0,mse,4,0.075,8.510899,46.8405
0,mse,4,0.1,12.629701,42.288033
0,mse,4,0.15,19.086296,36.863934
0,mae,5,0.05,8.545134,28.75865
0,mae,5,0.075,13.56016,26.939943
0,mae,5,0.1,15.890449,26.366022
0,mae,5,0.15,19.556427,24.766607
0,mse,5,0.05,3.973881,47.433594
0,mse,5,0.075,10.159327,42.072788
0,mse,5,0.1,13.336054,41.376228
0,mse,5,0.15,20.416508,36.397293
0,mae,6,0.05,8.084559,28.602955
0,mae,6,0.075,13.00022,25.334446
0,mae,6,0.1,15.710602,24.189436
0,mae,6,0.15,19.435781,22.64921
0,mse,6,0.05,3.563386,47.556793
0,mse,6,0.075,9.347259,37.70607
0,mse,6,0.1,13.652099,34.70134
0,mse,6,0.15,20.774387,30.824989
0,mae,7,0.05,8.551439,25.374916
0,mae,7,0.075,14.526892,23.126526
0,mae,7,0.1,17.662033,21.845358
0,mae,7,0.15,21.361301,21.301025
0,mse,7,0.05,3.83707,37.223373
0,mse,7,0.075,11.038433,30.831091
0,mse,7,0.1,16.59436,27.469551
0,mse,7,0.15,25.49741,26.552378
0,mae,8,0.05,9.826453,24.202566
0,mae,8,0.075,15.167501,21.255302
0,mae,8,0.1,17.792843,19.830086
0,mae,8,0.15,21.132181,18.785131
0,mse,8,0.05,5.449978,33.947479
0,mse,8,0.075,13.151104,25.511448
0,mse,8,0.1,17.611675,22.033005
0,mse,8,0.15,25.246859,20.134373
0,mae,9,0.05,9.372419,22.766542
0,mae,9,0.075,15.956034,19.595501
0,mae,9,0.1,17.885532,19.275951
0,mae,9,0.15,22.311363,17.718336
0,mse,9,0.05,5.170947,28.222342
0,mse,9,0.075,14.875407,21.698997
0,mse,9,0.1,18.517479,20.927845
0,mse,9,0.15,28.981991,17.596378
0,mae,10,0.05,10.556159,22.639988
0,mae,10,0.075,16.877659,19.261742
0,mae,10,0.1,20.075718,17.943558
0,mae,10,0.15,22.965389,17.567478
0,mse,10,0.05,6.86482,28.447601
0,mse,10,0.075,17.644583,20.675919
0,mse,10,0.1,24.961508,17.999641
0,mse,10,0.15,32.163315,17.375671
0,mae,11,0.05,10.987619,21.751585
0,mae,11,0.075,17.356386,19.439188
0,mae,11,0.1,20.233974,18.004368
0,mae,11,0.15,23.589123,17.385954
0,mse,11,0.05,7.482085,26.276402
0,mse,11,0.075,19.747017,21.478119
0,mse,11,0.1,26.495476,18.776979
0,mse,11,0.15,34.240467,17.359125
0,mae,12,0.05,11.67407,22.653761
0,mae,12,0.075,18.129341,19.406296
0,mae,12,0.1,20.403389,18.418308
0,mae,12,0.15,23.900196,17.06654
0,mse,12,0.05,8.629776,28.216017
0,mse,12,0.075,21.213966,21.341118
0,mse,12,0.1,27.136816,19.631794
0,mse,12,0.15,36.447701,17.095995
0,mae,13,0.05,12.126341,23.481331
0,mae,13,0.075,17.904118,20.777378
0,mae,13,0.1,20.89147,19.207516
0,mae,13,0.15,24.459709,18.070272
0,mse,13,0.05,9.203766,30.197807
0,mse,13,0.075,20.745211,24.080544
0,mse,13,0.1,27.775831,20.818829
0,mse,13,0.15,37.545456,18.590891
0,mae,14,0.05,12.403023,24.63098
0,mae,14,0.075,18.189613,21.765421
0,mae,14,0.1,19.929638,20.909637
0,mae,14,0.15,24.369326,19.009445
0,mse,14,0.05,9.269494,32.862362
0,mse,14,0.075,21.168728,26.15642
0,mse,14,0.1,25.751797,24.44813
0,mse,14,0.15,36.497375,20.614225
0,mae,15,0.05,12.899221,26.67049
0,mae,15,0.075,18.618,22.281462
0,mae,15,0.1,20.762478,20.822323
0,mae,15,0.15,24.450098,18.946453
0,mse,15,0.05,9.894314,39.583168
0,mse,15,0.075,21.353647,27.495792
0,mse,15,0.1,27.272659,24.821621
0,mse,15,0.15,37.256401,20.792929
0,mae,16,0.05,11.702046,28.180101
0,mae,16,0.075,17.665035,24.583136
0,mae,16,0.1,20.234018,22.226326
0,mae,16,0.15,23.150963,19.914829
0,mse,16,0.05,8.363436,44.007214
0,mse,16,0.075,19.344368,33.715134
0,mse,16,0.1,26.279724,27.408102
0,mse,16,0.15,34.854088,22.802425
0,mae,17,0.05,11.061559,30.942417
0,mae,17,0.075,15.616733,27.228971
0,mae,17,0.1,18.772043,25.569256
0,mae,17,0.15,20.415731,22.416479
0,mse,17,0.05,8.094629,52.881645
0,mse,17,0.075,16.078848,40.575844
0,mse,17,0.1,21.842216,35.885113
0,mse,17,0.15,27.68198,27.725643
0,mae,18,0.05,10.257965,31.766525
0,mae,18,0.075,14.688245,29.485016
0,mae,18,0.1,16.502342,27.838566
0,mae,18,0.15,20.420853,25.57095
0,mse,18,0.05,7.052708,55.658337
0,mse,18,0.075,13.859499,48.189285
0,mse,18,0.1,17.798885,42.066353
0,mse,18,0.15,25.970448,35.798607
0,mae,19,0.05,9.384809,32.026604
0,mae,19,0.075,12.774948,30.736095
0,mae,19,0.1,14.776575,30.470608
0,mae,19,0.15,17.348751,28.336031
0,mse,19,0.05,5.704867,56.422737
0,mse,19,0.075,10.478039,51.271915
0,mse,19,0.1,13.637142,49.988323
0,mse,19,0.15,17.978085,43.490704
0,mae,20,0.05,8.100218,33.692867
0,mae,20,0.075,10.902328,33.137505
0,mae,20,0.1,13.084958,32.279274
0,mae,20,0.15,15.584265,29.127827
0,mse,20,0.05,4.339753,61.421528
0,mse,20,0.075,7.413192,59.314747
0,mse,20,0.1,10.701786,55.272118
0,mse,20,0.15,15.399464,46.054031
0,mae,21,0.05,7.095981,34.767155
0,mae,21,0.075,9.467116,33.204025
0,mae,21,0.1,10.905217,31.620817
0,mae,21,0.15,14.476363,31.054903
0,mse,21,0.05,3.13013,65.572769
0,mse,21,0.075,5.597095,59.43478
0,mse,21,0.1,7.411646,53.991611
0,mse,21,0.15,13.732079,52.374992
0,mae,22,0.05,6.893025,34.101685
0,mae,22,0.075,9.953872,32.857147
0,mae,22,0.1,11.308414,32.121288
0,mae,22,0.15,13.420815,30.823563
0,mse,22,0.05,2.826952,63.495895
0,mse,22,0.075,5.910237,59.307465
0,mse,22,0.1,7.862873,56.441811
0,mse,22,0.15,11.615083,52.32151
0,mae,23,0.05,7.871938,32.187626
0,mae,23,0.075,10.405186,30.449081
0,mae,23,0.1,12.530169,30.433907
0,mae,23,0.15,13.740252,29.212917
0,mse,23,0.05,3.579576,57.353973
